train_size,test_index,true_label,avg_std_all_testpoints_labels_for_N,avg_std_this_testpoint_all_labels,num_labels,noise_type,noise_probability,feature_dim,loss_name,activation,depth,width,used_num_noise_datasets,used_init_count_min,used_init_count_max,mean_label_0,mean_label_1,mean_label_2,mean_label_3,mean_label_4,mean_label_5,mean_label_6,mean_label_7,mean_label_8,mean_label_9,std_label_0,std_label_1,std_label_2,std_label_3,std_label_4,std_label_5,std_label_6,std_label_7,std_label_8,std_label_9
100,0,7,0.08041952985339546,0.08239046634382621,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.10890563897215765,0.07140992914573294,0.07784145542571783,0.1127320846113551,0.09545430739150611,0.08826113041939677,0.085519642967236,0.17762652611974628,0.09613088649378625,0.12570575571530498,0.07728538029842776,0.08648423671322432,0.0820254762379456,0.0829401354254566,0.08185812435725053,0.08475173524557499,0.08449846715661301,0.08016424853472945,0.08040508303961244,0.0834917764294275
100,1,2,0.08041952985339546,0.07906551421493299,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.07570076847188173,0.08672366250146876,0.12223807663338956,0.09887946878176297,0.043303450687427525,0.08583291005166246,0.11385527880704029,0.04577270060796292,0.08783658232745944,0.05900239653386528,0.07887818492221374,0.08059940705873533,0.08173254932758883,0.0830840625840074,0.07922806649457327,0.07987961480538937,0.06805893710944606,0.08218354117456957,0.07626305132151456,0.08074772735129178
100,2,1,0.08041952985339546,0.07935372685550879,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.06340734104958826,0.1583540214394219,0.10558434106548083,0.09267844415246505,0.06348034196392398,0.07813598095539494,0.09005849213313778,0.054745020587981,0.08501237169776578,0.07255982173256342,0.08040046001924255,0.0802248939963788,0.07770455855962607,0.08096683376700273,0.07907765951273928,0.07808685148470274,0.08175628863085226,0.07817913027248685,0.07799068424780287,0.07914990806425379
100,3,0,0.08041952985339546,0.0794580485798736,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.20867683632806874,0.10396898334618893,0.14095985036247877,0.14139875430635876,0.14017386523273304,0.15291064021009945,0.17168795725132807,0.1530395576966461,0.14415425861208353,0.14820982996024543,0.08695150779373892,0.0788523448420178,0.08850775286261575,0.08396261736663468,0.08961940601499456,0.07710958753940171,0.06858488280054238,0.07325518992524159,0.066101579224239,0.08163561742930955
100,4,4,0.08041952985339546,0.08063278208839733,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.10732190936147232,0.03412517934057394,0.0921103880917304,0.08611827556826174,0.1295566998831462,0.08089519738490929,0.10376787156253128,0.1216777402572101,0.1062828625770286,0.11755825884080259,0.07804549666039373,0.07161094771814835,0.09394597045996778,0.08018602255253879,0.07676147856386639,0.0787977126125588,0.08856369614011043,0.0792539879841559,0.07783683764761146,0.08132567054462159
100,5,1,0.08041952985339546,0.08014456757180602,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.06737586960316987,0.15865870661040538,0.11268671831507239,0.09420074340974681,0.0706247136816382,0.08145161189716314,0.08525126497672172,0.061790777919595724,0.08874438150967469,0.0873338354870095,0.08361508491468596,0.08251218643747968,0.07860359207891342,0.08669292893344983,0.07726798993299323,0.0764474828231276,0.0843468020294456,0.0779890928822623,0.07722334452815735,0.07674717115754516
100,6,4,0.08041952985339546,0.08004015223038939,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.0629441672314191,0.06010068036276496,0.08197854689423695,0.09197791840246648,0.11401151043127758,0.07704202041993852,0.06092884581068066,0.10555127519349919,0.09765254622807845,0.11233669675823764,0.08091330211155294,0.0805252872921359,0.07471886917192176,0.07853901666486031,0.08383622768256536,0.0776697053596399,0.07833674455795289,0.08340072737549455,0.08109958430317424,0.08136205778459606
100,7,9,0.08041952985339546,0.07947773278575417,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.09423965583592656,0.09694785951703089,0.1054143757254293,0.10657583515604489,0.13260296519898113,0.09564564355055337,0.12414385309575592,0.08411338135604747,0.1009903204718139,0.12604917228233534,0.07518792345630256,0.08335093286041143,0.08771937076502082,0.07912754029763867,0.07864751397910766,0.07734786763740528,0.07996030393398412,0.07957162846097592,0.07164305359154392,0.08222119287515123
100,8,5,0.08041952985339546,0.08446494521521863,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.13628289379985067,0.09298158281391951,0.11527719134383368,0.09569330892013386,0.12179848079723303,0.12736088069054533,0.12668944100214874,0.09913887115225664,0.1272344322015182,0.13327019422287115,0.08590828307557818,0.08386776452014844,0.09439003645394942,0.08039802990973462,0.07490634472090282,0.09012859673996325,0.08436254972366579,0.08434495632866129,0.07400213174009918,0.09234075893948337
100,9,9,0.08041952985339546,0.0828762235177444,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.11232344892525577,0.09315239090330431,0.10101047382791295,0.09526338907962492,0.13045925709445724,0.09373834922180975,0.1077864546111436,0.13417104773807512,0.10295317482855756,0.14133433383819644,0.08216076794358945,0.09208405321157329,0.08192425206263879,0.07780772989748114,0.09214002751433514,0.0790581351819569,0.08518171804742601,0.07831291555029503,0.07871151862730662,0.08138111714084159
100,10,0,0.08041952985339546,0.0822951574104458,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.18119329020517175,0.06256782701671473,0.13067785953185518,0.11595884666694327,0.09962419906959404,0.11807280206526627,0.08816782077766838,0.08400839931485243,0.13564297358731278,0.08738648231258843,0.08430601198147673,0.08227849496531522,0.08496894947248185,0.07943767645162747,0.0858077312459421,0.08691560839737343,0.0829542960442448,0.08735377989999829,0.07106633970267037,0.07786268594332775
100,11,6,0.08041952985339546,0.08190086025264072,10,additive_gaussian,0.95,784,mse,erf,3,2048,100,25,25,0.12864131152961633,0.08494659263961948,0.1391693591371295,0.09193011504097962,0.1170372474939737,0.10908603338184766,0.10589176077998701,0.08084141501143458,0.10330289085683181,0.0990784634372685,0.08687617495090723,0.07852640295357768,0.08483524061354722,0.07342379634525392,0.08613327387940177,0.0845208825291356,0.08077892886240416,0.0864817555779683,0.07199130737618066,0.0854408394380306
