signal_mean,dataset_variance,snr,log_snr,valid_log,status,estimated_init_variance_in_dataset_mean,test_index,true_label,group_id,folder,dataset,noise_type,p,N,d,d_label,K,M,output,log_Nd
0.5108414868777619,0.05000452916797739,5.218707766227688,1.6522498168853963,True,ok,0.00870373317876823,6,4,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.4486899691820144,0.052965435175927514,3.8010201894094333,1.335269501597697,True,ok,0.008318320706994111,78,9,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.524915405084612,0.06654762995427368,4.140435695222642,1.420801022691784,True,ok,0.006507285247784352,125,9,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.5517205822723917,0.03315839990747497,9.180044928355136,2.2170320987767558,True,ok,0.00802599044250891,197,6,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.6766002312023194,0.06450793274856458,7.096613600181113,1.9596177125457857,True,ok,0.007860162756386239,214,9,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.4661810213327408,0.08032154576191838,2.7056842916720134,0.9953548531978851,True,ok,0.008326250992996602,235,9,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.5043108400050551,0.059994241912124574,4.23923055347759,1.4443817795391887,True,ok,0.008019375030742001,257,8,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.4240491894364823,0.04913903217491728,3.6593662329703855,1.2972899720286786,True,ok,0.007523545070054363,283,5,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.5180888451845386,0.050804886870859545,5.283272299905577,1.6645456595201094,True,ok,0.007916791341240691,286,6,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.45433873467147345,0.057230239703481095,3.6068988508940247,1.2828483590813033,True,ok,0.008499374078575438,287,4,fec24f952537,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,additive_gaussian,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
