signal_mean,dataset_variance,snr,log_snr,valid_log,status,estimated_init_variance_in_dataset_mean,test_index,true_label,group_id,folder,dataset,noise_type,p,N,d,d_label,K,M,output,log_Nd
0.46303317890036844,0.02927611306800206,7.323367151389823,1.9910702155679731,True,ok,0.008572014785200217,6,4,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.36590766657143836,0.06685950767096205,2.0025337475511265,0.6944132525280482,True,ok,0.007531194992830356,78,9,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.507479016839061,0.048898961782904996,5.266675265526269,1.6613992840583398,True,ok,0.007721922063593342,125,9,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.36424851949908776,0.03788301100197504,3.5022819054789536,1.2534147290472952,True,ok,0.009387233428732725,197,6,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.6094510086532682,0.034402550043729746,10.796598841549637,2.379231162453065,True,ok,0.009445574201515174,214,9,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.44799596840399325,0.04534168194751876,4.426399266320439,1.4875864468508992,True,ok,0.008300034925559174,235,9,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.408978412153665,0.06777740269252727,2.4678334513130364,0.9033406205055237,True,ok,0.007465502926247344,257,8,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.42219684102106836,0.04777440249546543,3.731081149263732,1.3166980440061733,True,ok,0.007142527970773837,283,5,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.28288116640062066,0.038629815689677584,2.071502358359907,0.7282741210139889,True,ok,0.008563786262217755,286,6,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.3598081900132819,0.030595869267306175,4.231353339549438,1.4425218803165643,True,ok,0.009817494856942976,287,4,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
0.44887371672084564,0.028305867501482496,7.1182278215720896,1.96265879297818,True,ok,0.007700432166223262,306,2,aed5009ee475,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,mnist,replacement,0.97,1000,784,28x28,20,10,true_class,13.572164299332545
